cmd_vx,cmd_vy,cmd_wz,code,detail,elapsed_s,f1,f2,f3,family,kind,low_code,result,size,t,type,value
,,,0x11050F03,,6.523,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:12:51.338,1,12
,,,0x11050F01,,6.852,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:12:51.339,0,77
,,,0x11050F02,,6.852,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:12:51.439,1,12
,,,0x11050F02,,7.453,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:12:51.951,1,12
,,,0x11050F03,,7.465,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:12:52.162,1,12
,,,0x11050F01,,7.676,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:12:52.162,0,77
,,,0x11050F02,,7.676,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:12:52.439,1,12
,,,0x11050F03,,7.952,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:12:52.939,1,12
0.1,0,0,,slow forward,8.452,,,,,command,,"{""ok"": true, ""via"": ""udp""}",,2026-09-16T18:12:52.990,,
,,,0x11050F01,,8.452,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:12:52.991,0,77
,,,0x11050F02,,8.504,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:12:52.991,1,12
,,,0x11050906,,8.504,,,,lowlevel,frame,0x0906,,12,2026-09-16T18:12:52.991,0,1
,,,0x11050F02,,8.504,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:12:53.439,1,12
,,,0x11050F03,,8.952,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:12:53.739,1,12
,,,0x11050F01,,9.252,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:12:53.739,0,77
,,,0x11050F02,,9.252,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:12:53.938,1,12
,,,0x11050F02,,9.452,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:12:54.438,1,12
,,,0x11050F03,,9.951,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:12:54.539,1,12
,,,0x11050F01,,10.052,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:12:54.539,0,77
,,,0x11050F02,,10.052,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:12:54.939,1,12
,,,0x11050F03,,10.452,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:12:55.371,1,12
0.0,0,0,,hold,10.884,,,,,command,,"{""ok"": true, ""via"": ""udp""}",,2026-09-16T18:12:55.426,,
,,,0x11050F01,,10.884,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:12:55.426,0,77
,,,0x11050F02,,10.94,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:12:55.439,1,12
,,,0x11050F02,,11.453,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:12:55.951,1,12
,,,0x11050F03,,11.465,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:12:56.138,1,12
,,,0x11050F01,,11.652,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:12:56.139,0,77
